COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,CANTIDAD
ELECTRICO,ACTIVO,08/15/2013 12:00:00 AM,2013,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,07/15/2016 12:00:00 AM,2016,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,07/30/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,08/30/2010 12:00:00 AM,2010,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/26/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,01/24/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,05/22/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,03/30/2019 12:00:00 AM,2019,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,09/23/2016 12:00:00 AM,2016,MOTOCICLETA,Valle del Cauca,1
ELECTRICO,ACTIVO,08/27/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/24/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,02/27/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,09/22/2021 12:00:00 AM,2021,MOTOCARRO,Cundinamarca,1
ELECTRICO,ACTIVO,12/02/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,01/26/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,05/22/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,09/13/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,02/10/2021 12:00:00 AM,2021,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,02/24/2015 12:00:00 AM,2015,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,04/07/2017 12:00:00 AM,2017,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,12/05/2018 12:00:00 AM,2018,MOTOCARRO,Antioquia,1
ELECTRICO,ACTIVO,12/29/2021 12:00:00 AM,2021,AUTOMOVIL,Cundinamarca,1
ELECTRICO,ACTIVO,02/18/2019 12:00:00 AM,2019,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,03/16/2017 12:00:00 AM,2017,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,03/16/2017 12:00:00 AM,2017,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,02/14/2022 12:00:00 AM,2022,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,09/08/2015 12:00:00 AM,2015,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,08/06/2021 12:00:00 AM,2021,CAMIONETA,"Archipielago de San Andres, Providencia",1
ELECTRICO,ACTIVO,04/05/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,05/15/2020 12:00:00 AM,2020,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,04/10/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,02/26/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,09/18/2020 12:00:00 AM,2020,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,01/19/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,07/23/2020 12:00:00 AM,2020,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,02/12/2014 12:00:00 AM,2014,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,04/24/2015 12:00:00 AM,2015,MOTOCICLETA,Cundinamarca,1
ELECTRICO,ACTIVO,06/28/2014 12:00:00 AM,2014,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,11/09/2021 12:00:00 AM,2021,MOTOCARRO,Valle del Cauca,1
ELECTRICO,ACTIVO,11/18/2011 12:00:00 AM,2011,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,03/15/2017 12:00:00 AM,2017,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,12/27/2018 12:00:00 AM,2018,AUTOMOVIL,Cundinamarca,1
ELECTRICO,ACTIVO,01/13/2021 12:00:00 AM,2021,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,08/05/2015 12:00:00 AM,2015,MOTOCICLETA,Santander,1
ELECTRICO,ACTIVO,01/27/2021 12:00:00 AM,2021,TRICIMOTO,Valle del Cauca,1
ELECTRICO,ACTIVO,04/27/2016 12:00:00 AM,2016,AUTOMOVIL,Caldas,1
ELECTRICO,ACTIVO,05/25/2013 12:00:00 AM,2013,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,05/23/2018 12:00:00 AM,2018,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,02/18/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,10/10/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,06/30/2016 12:00:00 AM,2016,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,06/28/2012 12:00:00 AM,2012,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,04/17/2018 12:00:00 AM,2018,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,12/06/2012 12:00:00 AM,2012,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/19/2017 12:00:00 AM,2017,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,03/10/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/23/2015 12:00:00 AM,2015,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,12/28/2020 12:00:00 AM,2020,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,06/18/2015 12:00:00 AM,2015,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,11/13/2020 12:00:00 AM,2020,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,08/30/2019 12:00:00 AM,2019,AUTOMOVIL,Cundinamarca,1
ELECTRICO,ACTIVO,08/06/2014 12:00:00 AM,2014,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,03/30/2011 12:00:00 AM,2011,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,12/26/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
